Date,CCL,pred_CCL
2009-11-08,73.52,73.19307741319706
2009-11-01,73.74,72.89930250003809
2009-10-25,73.39,72.98134946415635
2009-10-18,73.37,72.99107665209064
2009-10-11,73.8,72.6591351129533
2009-10-04,72.7,72.48950435635226
2009-09-27,72.92,72.3562584156928
2009-09-20,72.18,72.10562066802393
2009-09-13,72.06,72.02784956860718
2009-09-06,72.65,72.17007327210202
2009-08-30,70.72,72.28034489935084
2009-08-23,70.79,72.39084949536648
2009-08-16,70.12,71.00786431327198
2009-08-09,69.51,70.87979915556741
2009-08-02,69.44,70.54932765931649
2009-07-26,68.71,70.3408718676535
2009-07-19,68.62,70.25621821260033
2009-07-12,68.46,69.69876317575553
2009-07-05,67.59,70.92593610545771
2009-06-28,68.42,69.63062788515256
2009-06-21,67.11,68.87462801461027
2009-06-14,65.82,68.49120805399978
2009-06-07,65.0,67.66727201127854
2009-05-31,65.49,67.05556503039278
2009-05-24,64.35,66.02426875493467
2009-05-17,64.3,66.03387641962442
2009-05-10,64.34,65.79954572498009
2009-05-03,63.08,65.23741312700989
2009-04-26,62.83,64.74343291487006
2009-04-19,61.5,64.04004508570989
2009-04-12,60.66,63.52346107298923
2009-04-05,60.1,63.15661898607565
2009-03-29,60.2,62.711107864583695
2009-03-22,59.43,62.20118794366326
2009-03-15,59.74,61.82114169700461
2009-03-08,59.47,61.53626858350585
2009-03-01,59.45,60.65658807972472
2009-02-22,58.62,60.52466335980383
2009-02-15,58.7,60.233204442868875
2009-02-08,58.35,59.877422615841326
2009-02-01,58.53,59.563114794400484
2009-01-25,58.38,59.50315162614917
2009-01-18,57.99,59.2666615287151
2009-01-11,57.51,60.02462532501078
2009-01-04,57.52,60.44300968048269
2008-12-28,56.78,59.39652607294764
2008-12-21,56.93,58.03181861980794
2008-12-14,56.71,57.91273132070843
2008-12-07,57.15,57.74009171706956
2008-11-30,56.92,57.50429820402182
2008-11-23,57.0,57.56078115209712
2008-11-16,57.43,57.89962345342641
2008-11-09,59.93,58.46642969919654
2008-11-02,61.61,58.614774616291
2008-10-26,63.45,59.025870990000186
2008-10-19,64.64,59.93183883636275
2008-10-12,66.27,60.60419113277607
2008-10-05,67.44,61.289867490390776
2008-09-28,67.52,61.99872884763911
2008-09-21,68.26,62.370953890971364
2008-09-14,68.4,62.65981684102821
2008-09-07,68.93,62.96169324305284
2008-08-31,69.94,63.51026961044604
2008-08-24,70.13,63.9428832185076
2008-08-17,70.49,64.59772943737121
2008-08-10,70.46,65.0880404650557
2008-08-03,70.81,65.42809998466161
2008-07-27,71.55,65.9232813856184
2008-07-20,71.84,66.51918872521509
2008-07-13,72.38,66.68135042832668
2008-07-06,72.77,67.04250687262308
2008-06-29,73.38,67.70347457507516
2008-06-22,72.62,69.15535658383634
2008-06-15,73.24,71.25563930667745
2008-06-08,73.23,70.49745046525607
