"Date","Price","Open","High","Low","Change %"
"Jul 29, 2016","0.937","0.917","0.956","0.917","-1.06%"
"Jul 28, 2016","0.947","0.947","0.947","0.937","-5.02%"
"Jul 27, 2016","0.997","1.002","1.002","0.997","-0.50%"
"Jul 26, 2016","1.002","1.027","1.027","1.002","-4.39%"
"Jul 25, 2016","1.048","1.067","1.067","1.038","0.48%"
"Jul 24, 2016","1.043","1.043","1.043","1.043","0.00%"
"Jul 22, 2016","1.043","1.013","1.043","1.013","0.00%"
"Jul 21, 2016","1.043","1.048","1.048","1.038","2.36%"
"Jul 20, 2016","1.019","1.019","1.024","1.019","2.83%"
"Jul 19, 2016","0.991","1.014","1.019","0.989","-3.69%"
"Jul 18, 2016","1.029","1.019","1.029","1.019","2.90%"
"Jul 17, 2016","1.000","1.000","1.000","1.000","0.00%"
"Jul 15, 2016","1.000","0.975","1.000","0.901","1.94%"
"Jul 14, 2016","0.981","0.981","0.981","0.981","-1.01%"
"Jul 13, 2016","0.991","1.006","1.011","0.991","1.54%"
"Jul 12, 2016","0.976","0.937","0.981","0.937","9.91%"
"Jul 11, 2016","0.888","0.883","0.888","0.883","-2.74%"
"Jul 10, 2016","0.913","0.913","0.913","0.913","0.00%"
"Jul 08, 2016","0.913","0.933","0.942","0.913","-3.18%"
"Jul 07, 2016","0.943","0.943","0.983","0.933","-4.07%"
"Jul 06, 2016","0.983","0.943","0.983","0.943","0.00%"
"Jul 05, 2016","0.983","0.990","0.993","0.983","-2.48%"
"Jul 04, 2016","1.008","0.988","1.008","0.988","-3.82%"
"Jul 03, 2016","1.048","1.048","1.048","1.048","0.00%"
"Jul 01, 2016","1.048","1.048","1.048","1.048","0.00%"
"Jun 30, 2016","1.048","1.043","1.048","1.043","4.38%"
"Jun 29, 2016","1.004","1.014","1.014","1.004","-2.05%"
"Jun 28, 2016","1.025","1.015","1.025","0.995","-3.21%"
"Jun 27, 2016","1.059","1.054","1.066","1.054","-2.58%"
"Jun 26, 2016","1.087","1.087","1.087","1.087","0.00%"
"Jun 24, 2016","1.087","1.125","1.125","1.075","-10.53%"
"Jun 23, 2016","1.215","1.215","1.215","1.215","1.17%"
"Jun 22, 2016","1.201","1.201","1.206","1.201","2.56%"
"Jun 21, 2016","1.171","1.176","1.176","1.171","0.00%"
"Jun 20, 2016","1.171","1.171","1.171","1.171","2.63%"
"Jun 19, 2016","1.141","1.141","1.141","1.141","0.00%"
"Jun 17, 2016","1.141","1.136","1.151","1.136","4.49%"
"Jun 16, 2016","1.092","1.077","1.092","1.077","-4.80%"
"Jun 15, 2016","1.147","1.102","1.147","1.102","6.01%"
"Jun 14, 2016","1.082","1.092","1.102","1.082","-2.70%"
"Jun 13, 2016","1.112","1.093","1.112","1.093","-3.39%"
"Jun 12, 2016","1.151","1.151","1.151","1.151","0.00%"
"Jun 10, 2016","1.151","1.158","1.158","1.138","-3.92%"
"Jun 09, 2016","1.198","1.198","1.198","1.198","0.00%"
"Jun 08, 2016","1.198","1.229","1.229","1.198","-4.08%"
"Jun 07, 2016","1.249","1.219","1.249","1.219","4.17%"
"Jun 06, 2016","1.199","1.199","1.199","1.199","-6.69%"
"Jun 05, 2016","1.285","1.285","1.285","1.285","0.00%"
"Jun 03, 2016","1.285","1.189","1.290","1.189","-2.50%"
"Jun 02, 2016","1.318","1.331","1.331","1.318","-0.23%"
"Jun 01, 2016","1.321","1.341","1.341","1.321","-0.53%"
"May 31, 2016","1.328","1.328","1.328","1.328","-0.08%"
"May 30, 2016","1.329","1.329","1.329","1.329","3.10%"
"May 29, 2016","1.289","1.289","1.289","1.289","0.00%"
"May 27, 2016","1.289","1.299","1.299","1.289","-2.42%"
"May 26, 2016","1.321","1.281","1.351","1.276","1.15%"
"May 25, 2016","1.306","1.276","1.316","1.276","2.27%"
"May 24, 2016","1.277","1.302","1.302","1.277","0.39%"
"May 23, 2016","1.272","1.302","1.302","1.272","-3.49%"
"May 22, 2016","1.318","1.318","1.318","1.318","0.00%"
"May 20, 2016","1.318","1.303","1.323","1.303","-3.73%"
"May 19, 2016","1.369","1.354","1.369","1.354","4.98%"
"May 18, 2016","1.304","1.304","1.304","1.304","0.15%"
"May 17, 2016","1.302","1.295","1.305","1.295","2.12%"
"May 16, 2016","1.275","1.283","1.283","1.275","-0.86%"
"May 15, 2016","1.286","1.286","1.286","1.286","0.00%"
"May 13, 2016","1.286","1.291","1.291","1.281","1.82%"
"May 12, 2016","1.263","1.268","1.268","1.263","-1.17%"
"May 11, 2016","1.278","1.283","1.283","1.263","-1.16%"
"May 10, 2016","1.293","1.259","1.293","1.259","-0.84%"
"May 09, 2016","1.304","1.334","1.334","1.304","-3.34%"
"May 08, 2016","1.349","1.349","1.349","1.349","0.00%"
"May 06, 2016","1.349","1.314","1.349","1.314","-1.24%"
"May 05, 2016","1.366","1.346","1.366","1.346","1.79%"
"May 04, 2016","1.342","1.336","1.346","1.306","0.37%"
"May 03, 2016","1.337","1.347","1.372","1.337","1.29%"
"May 02, 2016","1.320","1.320","1.320","1.320","0.00%"
"Apr 29, 2016","1.320","1.322","1.322","1.312","-1.79%"
"Apr 28, 2016","1.344","1.364","1.364","1.344","-6.01%"
"Apr 27, 2016","1.430","1.495","1.495","1.430","-2.65%"
"Apr 26, 2016","1.469","1.435","1.472","1.427","4.48%"
"Apr 25, 2016","1.406","1.401","1.406","1.401","2.18%"
"Apr 24, 2016","1.376","1.376","1.376","1.376","0.00%"
"Apr 22, 2016","1.376","1.381","1.386","1.376","-4.58%"
"Apr 21, 2016","1.442","1.417","1.442","1.367","10.33%"
"Apr 20, 2016","1.307","1.323","1.323","1.303","-2.32%"
"Apr 19, 2016","1.338","1.368","1.368","1.338","0.83%"
"Apr 18, 2016","1.327","1.319","1.329","1.319","-3.77%"
"Apr 17, 2016","1.379","1.379","1.379","1.379","0.00%"
"Apr 15, 2016","1.379","1.369","1.379","1.369","3.61%"
"Apr 14, 2016","1.331","1.326","1.331","1.311","-0.75%"
"Apr 13, 2016","1.341","1.321","1.371","1.321","3.00%"
"Apr 12, 2016","1.302","1.263","1.302","1.263","3.99%"
"Apr 11, 2016","1.252","1.256","1.256","1.252","-1.65%"
"Apr 10, 2016","1.273","1.273","1.273","1.273","0.00%"
"Apr 08, 2016","1.273","1.273","1.273","1.273","0.00%"
"Apr 07, 2016","1.273","1.275","1.275","1.273","0.63%"
"Apr 06, 2016","1.265","1.241","1.265","1.241","4.37%"
"Apr 05, 2016","1.212","1.227","1.227","1.212","-3.19%"
"Apr 04, 2016","1.252","1.252","1.252","1.252","0.00%"
"Apr 01, 2016","1.252","1.227","1.252","1.227","-2.03%"
"Mar 31, 2016","1.278","1.308","1.308","1.239","-4.13%"
"Mar 30, 2016","1.333","1.358","1.358","1.313","-5.33%"
"Mar 29, 2016","1.408","1.378","1.408","1.378","3.23%"
"Mar 28, 2016","1.364","1.364","1.364","1.364","0.00%"
"Mar 24, 2016","1.364","1.329","1.364","1.329","-0.07%"
"Mar 23, 2016","1.365","1.361","1.366","1.361","5.57%"
"Mar 22, 2016","1.293","1.293","1.293","1.293","4.53%"
"Mar 21, 2016","1.237","1.249","1.249","1.234","-0.64%"
"Mar 20, 2016","1.245","1.245","1.245","1.245","0.00%"
"Mar 18, 2016","1.245","1.245","1.245","1.245","-9.06%"
"Mar 17, 2016","1.369","1.369","1.369","1.369","0.00%"
"Mar 16, 2016","1.369","1.419","1.419","1.369","-0.80%"
"Mar 15, 2016","1.380","1.385","1.385","1.380","-1.22%"
"Mar 14, 2016","1.397","1.415","1.415","1.395","2.27%"
"Mar 13, 2016","1.366","1.366","1.366","1.366","0.00%"
"Mar 11, 2016","1.366","1.385","1.385","1.351","5.24%"
"Mar 10, 2016","1.298","1.328","1.333","1.293","0.31%"
"Mar 09, 2016","1.294","1.313","1.313","1.294","-3.65%"
"Mar 08, 2016","1.343","1.388","1.388","1.343","-5.62%"
"Mar 07, 2016","1.423","1.428","1.428","1.418","3.79%"
"Mar 06, 2016","1.371","1.371","1.371","1.371","0.00%"
"Mar 04, 2016","1.371","1.417","1.417","1.371","-3.45%"
"Mar 03, 2016","1.420","1.390","1.420","1.390","5.11%"
"Mar 02, 2016","1.351","1.351","1.361","1.351","3.68%"
"Mar 01, 2016","1.303","1.293","1.303","1.293","-2.91%"
"Feb 29, 2016","1.342","1.353","1.353","1.342","0.68%"
"Feb 28, 2016","1.333","1.333","1.333","1.333","0.00%"
"Feb 26, 2016","1.333","1.333","1.333","1.333","-1.11%"
"Feb 25, 2016","1.348","1.339","1.438","1.339","-2.25%"
"Feb 24, 2016","1.379","1.374","1.379","1.374","-2.75%"
"Feb 23, 2016","1.418","1.425","1.425","1.415","-0.77%"
"Feb 22, 2016","1.429","1.439","1.439","1.429","0.35%"
"Feb 21, 2016","1.424","1.424","1.424","1.424","0.00%"
"Feb 19, 2016","1.424","1.430","1.434","1.424","-4.11%"
"Feb 18, 2016","1.485","1.485","1.535","1.455","2.70%"
"Feb 17, 2016","1.446","1.483","1.485","1.446","-2.36%"
"Feb 16, 2016","1.481","1.496","1.506","1.476","1.65%"
"Feb 15, 2016","1.457","1.511","1.521","1.455","-1.02%"
"Feb 14, 2016","1.472","1.472","1.472","1.472","0.00%"
"Feb 12, 2016","1.472","1.447","1.472","1.447","0.96%"
"Feb 11, 2016","1.458","1.628","1.628","1.458","-10.44%"
"Feb 10, 2016","1.628","1.628","1.628","1.628","0.00%"
"Feb 05, 2016","1.628","1.643","1.648","1.628","-2.16%"
"Feb 04, 2016","1.664","1.721","1.721","1.664","-3.93%"
"Feb 03, 2016","1.732","1.752","1.752","1.732","6.85%"
"Feb 02, 2016","1.621","1.583","1.621","1.583","2.47%"
"Feb 01, 2016","1.582","1.632","1.632","1.572","-4.81%"
"Jan 31, 2016","1.662","1.662","1.662","1.662","0.00%"
"Jan 29, 2016","1.662","1.718","1.718","1.662","-2.46%"
"Jan 28, 2016","1.704","1.668","1.704","1.653","3.02%"
"Jan 27, 2016","1.654","1.634","1.684","1.634","-2.93%"
"Jan 26, 2016","1.704","1.659","1.704","1.659","5.25%"
"Jan 25, 2016","1.619","1.649","1.649","1.619","-5.87%"
"Jan 24, 2016","1.720","1.720","1.720","1.720","0.00%"
"Jan 22, 2016","1.720","1.776","1.776","1.720","-6.16%"
"Jan 21, 2016","1.833","1.838","1.936","1.833","5.53%"
"Jan 20, 2016","1.737","1.707","1.737","1.707","15.26%"
"Jan 19, 2016","1.507","1.507","1.507","1.507","0.00%"
"Jan 18, 2016","1.507","1.507","1.507","1.507","0.27%"
"Jan 17, 2016","1.503","1.503","1.503","1.503","0.00%"
"Jan 15, 2016","1.503","1.471","1.503","1.471","2.11%"
"Jan 14, 2016","1.472","1.446","1.472","1.446","-1.54%"
"Jan 13, 2016","1.495","1.510","1.510","1.490","-3.55%"
"Jan 12, 2016","1.550","1.506","1.560","1.506","2.92%"
"Jan 11, 2016","1.506","1.506","1.506","1.506","-5.04%"
"Jan 10, 2016","1.586","1.586","1.586","1.586","0.00%"
"Jan 08, 2016","1.586","1.561","1.590","1.561","4.82%"
